config1,config2,val
xterm-00009,ixterm-00013-00009,True
xterm-00009,ixterm-00014-00009,True
xterm-00009,ixterm-00015-00009,True
xterm-00009,ixterm-00016-00009,True
xterm-00009,ixterm-00017-00009,True
xterm-00009,ixterm-00018-00009,True
xterm-00009,ixterm-00019-00009,True
xterm-00009,ixterm-00020-00009,True
xterm-00010,ixterm-00001-00010,True
xterm-00010,ixterm-00002-00010,True
xterm-00010,ixterm-00003-00010,True
xterm-00010,ixterm-00004-00010,True
xterm-00010,ixterm-00005-00010,True
xterm-00010,ixterm-00006-00010,True
xterm-00010,ixterm-00007-00010,True
xterm-00010,ixterm-00008-00010,True
xterm-00010,ixterm-00009-00010,True
xterm-00010,ixterm-00011-00010,True
xterm-00010,ixterm-00012-00010,True
xterm-00010,ixterm-00013-00010,True
xterm-00010,ixterm-00014-00010,True
xterm-00010,ixterm-00015-00010,True
xterm-00010,ixterm-00016-00010,True
xterm-00010,ixterm-00017-00010,True
xterm-00010,ixterm-00018-00010,True
xterm-00010,ixterm-00019-00010,True
xterm-00010,ixterm-00020-00010,True
xterm-00011,ixterm-00001-00011,True
xterm-00011,ixterm-00002-00011,True
xterm-00011,ixterm-00003-00011,True
xterm-00011,ixterm-00004-00011,True
xterm-00011,ixterm-00005-00011,True
xterm-00011,ixterm-00006-00011,True
xterm-00011,ixterm-00007-00011,True
xterm-00011,ixterm-00008-00011,True
xterm-00011,ixterm-00009-00011,True
xterm-00011,ixterm-00010-00011,True
xterm-00011,ixterm-00012-00011,True
xterm-00011,ixterm-00013-00011,True
xterm-00011,ixterm-00014-00011,True
xterm-00011,ixterm-00015-00011,True
xterm-00011,ixterm-00016-00011,True
xterm-00011,ixterm-00017-00011,True
xterm-00011,ixterm-00018-00011,True
xterm-00011,ixterm-00019-00011,True
xterm-00011,ixterm-00020-00011,True
xterm-00012,ixterm-00001-00012,True
xterm-00012,ixterm-00002-00012,True
xterm-00012,ixterm-00003-00012,True
xterm-00012,ixterm-00004-00012,True
xterm-00012,ixterm-00005-00012,True
xterm-00012,ixterm-00006-00012,True
xterm-00012,ixterm-00007-00012,True
xterm-00012,ixterm-00008-00012,True
xterm-00012,ixterm-00009-00012,True
xterm-00012,ixterm-00010-00012,True
xterm-00012,ixterm-00011-00012,True
xterm-00012,ixterm-00013-00012,True
xterm-00012,ixterm-00014-00012,True
xterm-00012,ixterm-00015-00012,True
xterm-00012,ixterm-00016-00012,True
xterm-00012,ixterm-00017-00012,True
xterm-00012,ixterm-00018-00012,True
xterm-00012,ixterm-00019-00012,True
xterm-00012,ixterm-00020-00012,True
xterm-00013,ixterm-00001-00013,True
xterm-00013,ixterm-00002-00013,True
xterm-00013,ixterm-00003-00013,True
xterm-00013,ixterm-00004-00013,True
xterm-00013,ixterm-00005-00013,True
xterm-00013,ixterm-00006-00013,True
xterm-00013,ixterm-00007-00013,True
xterm-00013,ixterm-00008-00013,True
xterm-00013,ixterm-00009-00013,True
xterm-00013,ixterm-00010-00013,True
xterm-00013,ixterm-00011-00013,True
xterm-00013,ixterm-00012-00013,True
xterm-00013,ixterm-00014-00013,True
xterm-00013,ixterm-00015-00013,True
xterm-00013,ixterm-00016-00013,True
xterm-00013,ixterm-00017-00013,True
xterm-00013,ixterm-00018-00013,True
xterm-00013,ixterm-00019-00013,True
xterm-00013,ixterm-00020-00013,True
xterm-00014,ixterm-00001-00014,True
xterm-00014,ixterm-00002-00014,True
xterm-00014,ixterm-00003-00014,True
xterm-00014,ixterm-00004-00014,True
xterm-00014,ixterm-00005-00014,True
xterm-00014,ixterm-00006-00014,True
xterm-00014,ixterm-00007-00014,True
xterm-00014,ixterm-00008-00014,True
xterm-00014,ixterm-00009-00014,True
xterm-00014,ixterm-00010-00014,True
xterm-00014,ixterm-00011-00014,True
xterm-00014,ixterm-00012-00014,True
xterm-00014,ixterm-00013-00014,True
xterm-00014,ixterm-00015-00014,True
xterm-00014,ixterm-00016-00014,True
xterm-00014,ixterm-00017-00014,True
xterm-00014,ixterm-00018-00014,True
xterm-00014,ixterm-00019-00014,True
xterm-00014,ixterm-00020-00014,True
xterm-00015,ixterm-00001-00015,True
xterm-00015,ixterm-00002-00015,True
xterm-00015,ixterm-00003-00015,True
xterm-00015,ixterm-00004-00015,True
xterm-00015,ixterm-00005-00015,True
xterm-00015,ixterm-00006-00015,True
xterm-00015,ixterm-00007-00015,True
xterm-00015,ixterm-00008-00015,True
xterm-00015,ixterm-00009-00015,True
xterm-00015,ixterm-00010-00015,True
xterm-00015,ixterm-00011-00015,True
xterm-00015,ixterm-00012-00015,True
xterm-00015,ixterm-00013-00015,True
xterm-00015,ixterm-00014-00015,True
xterm-00015,ixterm-00016-00015,True
xterm-00015,ixterm-00017-00015,True
xterm-00015,ixterm-00018-00015,True
xterm-00015,ixterm-00019-00015,True
xterm-00015,ixterm-00020-00015,True
xterm-00016,ixterm-00001-00016,True
xterm-00016,ixterm-00002-00016,True
xterm-00016,ixterm-00003-00016,True
xterm-00016,ixterm-00004-00016,True
xterm-00016,ixterm-00005-00016,True
xterm-00016,ixterm-00006-00016,True
xterm-00016,ixterm-00007-00016,True
xterm-00016,ixterm-00008-00016,True
xterm-00016,ixterm-00009-00016,True
xterm-00016,ixterm-00010-00016,True
xterm-00016,ixterm-00011-00016,True
xterm-00016,ixterm-00012-00016,True
xterm-00016,ixterm-00013-00016,True
xterm-00016,ixterm-00014-00016,True
xterm-00016,ixterm-00015-00016,True
xterm-00016,ixterm-00017-00016,True
xterm-00016,ixterm-00018-00016,True
xterm-00016,ixterm-00019-00016,True
